method,max_particles,num_rays,iters_per_sec,ms_total,ms_resample,ms_motion,ms_range_sensor,ms_normalize
glt,500,60,665.050,1.5036,0.0843,0.0812,1.3365,0.0015
glt,1000,60,402.618,2.4837,0.1645,0.1618,2.1545,0.0030
glt,2000,60,186.177,5.3712,0.3730,0.3216,4.6706,0.0060
glt,4000,60,75.726,13.2055,0.8035,0.6454,11.7443,0.0124
glt,8000,60,38.200,26.1783,1.8205,1.2897,23.0437,0.0245
glt,11700,60,25.053,39.9162,2.8566,1.8959,35.1263,0.0373
glt,16000,60,23.328,42.8665,3.8685,2.6033,36.3425,0.0522
glt,24000,60,11.263,88.7861,6.4307,3.9164,78.3532,0.0858
glt,32000,60,9.014,110.9360,9.2036,5.1750,96.4350,0.1225
glt,50000,60,7.244,138.0417,15.1554,8.0502,114.6265,0.2095
glt,75000,60,4.314,231.7812,24.5558,12.0855,194.7898,0.3501
glt,100000,60,2.558,390.9583,34.2823,16.0898,340.0896,0.4966
glt,100,1080,176.559,5.6638,0.0065,0.0164,5.6405,0.0004
glt,300,1080,54.455,18.3636,0.0222,0.0487,18.2918,0.0011
glt,650,1080,37.237,26.8552,0.0478,0.1053,26.6999,0.0022
glt,1000,1080,17.424,57.3905,0.0707,0.1612,57.1556,0.0030
glt,2000,1080,8.438,118.5079,0.1483,0.3264,118.0265,0.0066
