method,max_particles,num_rays,iters_per_sec,ms_total,ms_resample,ms_motion,ms_range_sensor,ms_normalize,ms_gpu_range
lutgpu,500,60,1267.296,0.7891,0.0689,0.0795,0.6391,0.0016,0.3672
lutgpu,1000,60,634.165,1.5769,0.1895,0.1591,1.2253,0.0030,0.7094
lutgpu,2000,60,344.468,2.9030,0.3627,0.3284,2.2057,0.0063,1.0426
lutgpu,4000,60,186.497,5.3620,0.8102,0.6576,3.8791,0.0151,1.6732
lutgpu,8000,60,92.583,10.8012,1.8258,1.2754,7.6676,0.0324,3.1671
lutgpu,11700,60,64.338,15.5430,2.9465,1.8598,10.6915,0.0451,4.5655
lutgpu,16000,60,45.577,21.9408,4.1151,2.5438,15.2214,0.0605,6.1934
lutgpu,24000,60,30.838,32.4280,6.6724,3.8140,21.8504,0.0913,9.0298
lutgpu,32000,60,22.743,43.9696,9.2450,5.1234,29.4788,0.1224,12.2097
lutgpu,50000,60,14.701,68.0237,14.9071,8.0128,44.9058,0.1980,18.4622
lutgpu,75000,60,9.712,102.9607,24.6340,11.9078,66.0861,0.3328,27.3367
lutgpu,100000,60,7.239,138.1345,34.1389,15.9139,87.5994,0.4823,36.1163
lutgpu,100,1080,531.623,1.8810,0.0075,0.0182,1.8548,0.0006,0.9323
lutgpu,300,1080,194.783,5.1339,0.0271,0.0485,5.0561,0.0022,2.1808
lutgpu,650,1080,97.213,10.2866,0.0540,0.1089,10.1208,0.0029,4.1755
lutgpu,1000,1080,63.166,15.8313,0.0781,0.1633,15.5856,0.0043,6.3570
lutgpu,2000,1080,31.656,31.5898,0.1529,0.3227,31.1069,0.0072,12.2540
