iter,t,x,y,theta,vx,vy
0,0.000000,723.000000,320.000000,0.000000,1.800000,0.000000
1,0.025000,723.892857,320.000000,0.000000,1.800000,0.000000
2,0.050000,724.785714,320.000000,0.000000,1.800000,0.000000
3,0.075000,725.678571,320.000000,0.000000,1.800000,0.000000
4,0.100000,726.571429,320.000000,0.000000,1.800000,0.000000
5,0.125000,727.464286,320.000000,0.000000,1.800000,0.000000
6,0.150000,728.357143,320.000000,0.000000,1.800000,0.000000
7,0.175000,729.250000,320.000000,0.000000,1.800000,0.000000
8,0.200000,730.142857,320.000000,0.000000,1.800000,0.000000
9,0.225000,731.035714,320.000000,0.000000,1.800000,0.000000
10,0.250000,731.928571,320.000000,0.000000,1.800000,0.000000
11,0.275000,732.821429,320.000000,0.000000,1.800000,0.000000
12,0.300000,733.714286,320.000000,0.000000,1.800000,0.000000
13,0.325000,734.607143,320.000000,0.000000,1.800000,0.000000
14,0.350000,735.500000,320.000000,0.000000,1.800000,0.000000
15,0.375000,736.392857,320.000000,0.000000,1.800000,0.000000
16,0.400000,737.285714,320.000000,0.000000,1.800000,0.000000
17,0.425000,738.178571,320.000000,0.000000,1.800000,0.000000
18,0.450000,739.071429,320.000000,0.000000,1.800000,0.000000
19,0.475000,739.964286,320.000000,0.000000,1.800000,0.000000
20,0.500000,740.857143,320.000000,0.000000,1.800000,0.000000
21,0.525000,741.750000,320.000000,0.000000,1.800000,0.000000
22,0.550000,742.642857,320.000000,0.000000,1.800000,0.000000
23,0.575000,743.535714,320.000000,0.000000,1.800000,0.000000
24,0.600000,744.428571,320.000000,0.000000,1.800000,0.000000
25,0.625000,745.321429,320.000000,0.000000,1.800000,0.000000
26,0.650000,746.214286,320.000000,0.000000,1.800000,0.000000
27,0.675000,747.107143,320.000000,0.000000,1.800000,0.000000
28,0.700000,748.000000,320.000000,0.000000,1.800000,0.000000
29,0.725000,748.892857,320.000000,0.000000,1.800000,0.000000
30,0.750000,749.785714,320.000000,0.000000,1.800000,0.000000
31,0.775000,750.678571,320.000000,0.000000,1.800000,0.000000
32,0.800000,751.571429,320.000000,0.000000,1.800000,0.000000
33,0.825000,752.464286,320.000000,0.000000,1.800000,0.000000
34,0.850000,753.357143,320.000000,0.000000,1.800000,0.000000
35,0.875000,754.250000,320.000000,0.000000,1.800000,0.000000
36,0.900000,755.142857,320.000000,0.000000,1.800000,0.000000
37,0.925000,756.035714,320.000000,0.000000,1.800000,0.000000
38,0.950000,756.928571,320.000000,0.000000,1.800000,0.000000
39,0.975000,757.821429,320.000000,0.000000,1.800000,0.000000
40,1.000000,758.714286,320.000000,0.000000,1.800000,0.000000
41,1.025000,759.607143,320.000000,0.000000,1.800000,0.000000
42,1.050000,760.500000,320.000000,0.000000,1.800000,0.000000
43,1.075000,761.392857,320.000000,0.000000,1.800000,0.000000
44,1.100000,762.285714,320.000000,0.000000,1.800000,0.000000
45,1.125000,763.178571,320.000000,0.000000,1.800000,0.000000
46,1.150000,764.071429,320.000000,0.000000,1.800000,0.000000
47,1.175000,764.964286,320.000000,0.000000,1.800000,0.000000
48,1.200000,765.857143,320.000000,0.000000,1.800000,0.000000
49,1.225000,766.750000,320.000000,0.000000,1.800000,0.000000
50,1.250000,767.642857,320.000000,0.000000,1.800000,0.000000
51,1.275000,768.535714,320.000000,0.000000,1.800000,0.000000
52,1.300000,769.428571,320.000000,0.000000,1.800000,0.000000
53,1.325000,770.321429,320.000000,0.000000,1.800000,0.000000
54,1.350000,771.214286,320.000000,0.000000,1.800000,0.000000
55,1.375000,772.107143,320.000000,0.000000,1.800000,0.000000
56,1.400000,773.000000,320.000000,0.000000,1.800000,0.000000
57,1.425000,773.892857,320.000000,0.000000,1.800000,0.000000
58,1.450000,774.785714,320.000000,0.000000,1.800000,0.000000
59,1.475000,775.678571,320.000000,0.000000,1.800000,0.000000
60,1.500000,776.571429,320.000000,0.000000,1.800000,0.000000
61,1.525000,777.464286,320.000000,0.000000,1.800000,0.000000
62,1.550000,778.357143,320.000000,0.000000,1.800000,0.000000
63,1.575000,779.250000,320.000000,0.000000,1.800000,0.000000
64,1.600000,780.142857,320.000000,0.000000,1.800000,0.000000
65,1.625000,781.035714,320.000000,0.000000,1.800000,0.000000
66,1.650000,781.928571,320.000000,0.000000,1.800000,0.000000
67,1.675000,782.821429,320.000000,0.000000,1.800000,0.000000
68,1.700000,783.714286,320.000000,0.000000,1.800000,0.000000
69,1.725000,784.607143,320.000000,0.000000,1.800000,0.000000
70,1.750000,785.500000,320.000000,0.000000,1.800000,0.000000
71,1.775000,786.392857,320.000000,0.000000,1.800000,0.000000
72,1.800000,787.285714,320.000000,0.000000,1.800000,0.000000
73,1.825000,788.178571,320.000000,0.000000,1.800000,0.000000
74,1.850000,789.071429,320.000000,0.000000,1.800000,0.000000
75,1.875000,789.964286,320.000000,0.000000,1.800000,0.000000
76,1.900000,790.857143,320.000000,0.000000,1.800000,0.000000
77,1.925000,791.750000,320.000000,0.000000,1.800000,0.000000
78,1.950000,792.642857,320.000000,0.000000,1.800000,0.000000
79,1.975000,793.535714,320.000000,0.000000,1.800000,0.000000
80,2.000000,794.428571,320.000000,0.000000,1.800000,0.000000
81,2.025000,795.321429,320.000000,0.000000,1.800000,0.000000
82,2.050000,796.214286,320.000000,0.000000,1.800000,0.000000
83,2.075000,797.107143,320.000000,0.000000,1.800000,0.000000
84,2.100000,798.000000,320.000000,0.000000,1.800000,0.000000
85,2.125000,798.892857,320.000000,0.000000,1.800000,0.000000
86,2.150000,799.785714,320.000000,0.000000,1.800000,0.000000
